Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
2022,Tre Scott,SF,80,225,25,CLE,2,0,Cincinnati,"2020 NBA Draft, Undrafted",United States
2022,Jayden Scrubb,SG,77,220,21,LAC,18,1,John A. Logan,2020 Rnd 2 Pick 25,United States
2022,Wayne Selden,SG,77,230,27,NYK,3,3,Kansas,"2016 NBA Draft, Undrafted",United States
2022,Alperen Sengun,C,81,235,19,HOU,72,0,Besiktas Icrypex (Turkey),2021 Rnd 1 Pick 16,Turkey
2022,Collin Sexton,PG,73,192,23,CLE,11,3,Alabama,2018 Rnd 1 Pick 8,United States
2022,Landry Shamet,PG,76,190,24,PHX,69,3,Wichita State,2018 Rnd 1 Pick 26,United States
2022,Day'Ron Sharpe,PF,81,264,20,BRK,32,0,North Carolina,2021 Rnd 1 Pick 29,United States
2022,Pascal Siakam,F,81,230,27,TOR,68,5,New Mexico State,2016 Rnd 1 Pick 27,Cameroon
2022,Chris Silva,PF,80,234,25,"MIA, MIN",10,2,South Carolina,"2019 NBA Draft, Undrafted",Gabon
2022,Marko Simonovic,C,83,220,22,CHI,9,0,KK Mega Bemax (Serbia),2020 Rnd 2 Pick 14,Montenegro
2022,Anfernee Simons,SG,75,181,22,POR,57,3,IMG Academy (Florida),2018 Rnd 1 Pick 24,United States
2022,Zavier Simpson,PG,72,190,25,OKC,4,0,Michigan,"2020 NBA Draft, Undrafted",United States
2022,Jericho Sims,C,82,240,23,NYK,41,0,Texas,2021 Rnd 2 Pick 28,United States
2022,Deividas Sirvydis,GF,80,190,21,DET,3,1,Lietuvos Rytas U18 (Lithuania),2019 Rnd 2 Pick 7,Lithuania
2022,Javonte Smart,G,75,205,22,"MIA, MIL",17,0,LSU,"2021 NBA Draft, Undrafted",United States
2022,Marcus Smart,PG,75,220,27,BOS,71,7,Oklahoma State,2014 Rnd 1 Pick 6,United States
2022,Dennis Smith,PG,74,205,24,POR,37,4,NC State,2017 Rnd 1 Pick 9,United States
2022,Ish Smith,PG,72,180,33,"CHA, WAS",65,11,Wake Forest,"2010 NBA Draft, Undrafted",United States
2022,Jalen Smith,C,82,215,21,"IND, PHX",51,1,Maryland,2020 Rnd 1 Pick 10,United States
2022,Xavier Sneed,SF,77,215,24,"MEM, UTH",9,0,Kansas State,"2020 NBA Draft, Undrafted",United States
2022,Tony Snell,G,78,213,30,"NOP, POR",53,8,New Mexico,2013 Rnd 1 Pick 20,United States
2022,Jaden Springer,SG,75,205,19,PHI,2,0,Tennessee,2021 Rnd 1 Pick 28,United States
2022,Cassius Stanley,G,78,193,22,DET,9,1,Duke,2020 Rnd 2 Pick 24,United States
2022,Nik Stauskas,SG,78,205,28,"BOS, MIA",8,5,Michigan,2014 Rnd 1 Pick 8,Canada
2022,Lance Stephenson,SG,78,230,31,"ATL, IND",46,9,Cincinnati,2010 Rnd 2 Pick 10,United States
2022,Lamar Stevens,SF,80,225,24,CLE,63,1,Penn State,"2020 NBA Draft, Undrafted",United States
2022,Isaiah Stewart II,C,80,250,20,DET,71,1,Washington,2020 Rnd 1 Pick 16,United States
2022,Max Strus,G,77,220,25,MIA,68,2,DePaul,"2019 NBA Draft, Undrafted",United States
2022,Jalen Suggs,SG,76,205,20,ORL,48,0,Gonzaga,2021 Rnd 1 Pick 5,United States
2022,Craig Sword,G,75,196,28,WAS,3,0,Mississippi State,"2016 NBA Draft, Undrafted",United States
2022,Keifer Sykes,PG,72,180,28,IND,32,0,Green Bay,"2015 NBA Draft, Undrafted",United States
2022,Jae'sean Tate,F,76,230,26,HOU,78,1,Ohio State,"2018 NBA Draft, Undrafted",United States
2022,Jayson Tatum,SF,80,210,23,BOS,76,4,Duke,2017 Rnd 1 Pick 3,United States
2022,Terry Taylor,GF,77,230,22,IND,33,0,Austin Peay,"2021 NBA Draft, Undrafted",United States
2022,Garrett Temple,G,77,195,35,NOP,59,11,LSU,"2009 NBA Draft, Undrafted",United States
2022,Emanuel Terry,F,81,220,25,PHX,3,1,Lincoln Memorial,"2018 NBA Draft, Undrafted",United States
2022,Tyrell Terry,PG,74,170,21,MEM,2,1,Stanford,2020 Rnd 2 Pick 1,United States
2022,Jon Teske,PF,85,265,24,MEM,3,0,Michigan,"2020 NBA Draft, Undrafted",United States
2022,Daniel Theis,C,80,245,29,"BOS, HOU",47,4,Ratiopharm Ulm (Germany),"2013 NBA Draft, Undrafted",Germany
2022,Brodric Thomas,G,77,185,25,BOS,12,1,Truman State,"2020 NBA Draft, Undrafted",United States
2022,Cam Thomas,PG,75,210,20,BRK,67,0,LSU,2021 Rnd 1 Pick 27,United States
2022,Isaiah Thomas,PG,69,185,33,"CHA, DAL, LAL",22,10,Washington,2011 Rnd 2 Pick 30,United States
2022,Matt Thomas,G,76,190,27,CHI,40,2,Iowa State,"2017 NBA Draft, Undrafted",United States
2022,Klay Thompson,G,78,215,32,GSW,32,10,Washington State,2011 Rnd 1 Pick 11,United States
2022,Tristan Thompson,F,81,254,30,"CHI, IND, SAC",57,10,Texas,2011 Rnd 1 Pick 4,Canada
2022,J.T. Thor,PF,81,205,19,CHA,33,0,Auburn,2021 Rnd 2 Pick 7,United States
2022,Matisse Thybulle,SF,77,205,24,PHI,66,2,Washington,2019 Rnd 1 Pick 20,United StatesAustralia
2022,Killian Tillie,C,82,220,23,MEM,36,1,Gonzaga,"2020 NBA Draft, Undrafted",France
2022,"Xavier Tillman, Sr.",PF,80,245,23,MEM,53,1,Michigan State,2020 Rnd 2 Pick 5,United States
2022,Isaiah Todd,PF,81,219,20,WAS,12,0,NBA G League Ignite,2021 Rnd 2 Pick 1,United States
2022,Obi Toppin,F,81,193,23,NYK,72,1,Dayton,2020 Rnd 1 Pick 8,United States
2022,Juan Toscano-Anderson,F,78,213,28,GSW,73,2,Marquette,"2015 NBA Draft, Undrafted",United StatesMexico
2022,Karl-Anthony Towns,C,84,250,26,MIN,74,6,Kentucky,2015 Rnd 1 Pick 1,United StatesDominican Republic
2022,"Gary Trent, Jr.",SG,78,205,23,TOR,70,3,Duke,2018 Rnd 2 Pick 7,United States
2022,P.J. Tucker,SF,78,245,36,MIA,71,10,Texas,2006 Rnd 2 Pick 5,United States
2022,Rayjon Tucker,SF,75,209,24,"DEN, MIL",5,2,Little Rock,"2019 NBA Draft, Undrafted",United States
2022,Myles Turner,FC,83,250,25,IND,42,6,Texas,2015 Rnd 1 Pick 11,United States
2022,Jonas Valanciunas,C,83,265,29,NOP,74,9,Lietuvos Rytas (Lithuania),2011 Rnd 1 Pick 5,Lithuania
2022,Denzel Valentine,F,77,218,28,"CLE, UTH",24,5,Michigan State,2016 Rnd 1 Pick 14,United States
2022,Fred VanVleet,G,72,195,28,TOR,65,5,Wichita State,"2016 NBA Draft, Undrafted",United States
2022,Jarred Vanderbilt,PF,80,214,22,MIN,74,3,Kentucky,2018 Rnd 2 Pick 11,United States
2022,Devin Vassell,SG,79,195,21,SAS,71,1,Florida State,2020 Rnd 1 Pick 11,United States
2022,Gabe Vincent,G,75,195,25,MIA,68,2,UC Santa Barbara,"2018 NBA Draft, Undrafted",United StatesNigeria
2022,Nikola Vucevic,PF,84,260,31,CHI,73,10,USC,2011 Rnd 1 Pick 16,SwitzerlandMontenegro
2022,Dean Wade,PF,81,219,25,CLE,51,2,Kansas State,"2019 NBA Draft, Undrafted",United States
2022,Franz Wagner,SF,81,225,20,ORL,79,0,Michigan,2021 Rnd 1 Pick 8,Germany
2022,Moe Wagner,PF,83,245,24,ORL,63,3,Michigan,2018 Rnd 1 Pick 25,Germany
2022,Ish Wainright,GF,77,235,27,PHX,45,0,Baylor,"2017 NBA Draft, Undrafted",United StatesUganda
2022,Kemba Walker,G,72,184,31,NYK,37,10,Connecticut,2011 Rnd 1 Pick 9,United States
2022,Lonnie Walker,SG,77,205,23,SAS,70,3,Miami (FL),2018 Rnd 1 Pick 18,United States
2022,M.J. Walker,SF,77,213,23,PHX,2,0,Florida State,"2021 NBA Draft, Undrafted",United States
2022,Tyrone Wallace,G,77,198,27,NOP,6,3,California,2016 Rnd 2 Pick 30,United States
2022,"Derrick Walton, Jr.",PG,72,189,26,DET,3,2,Michigan,"2017 NBA Draft, Undrafted",United States
2022,Brad Wanamaker,SG,75,210,32,"IND, WAS",23,3,Pittsburgh,"2011 NBA Draft, Undrafted",United States
2022,"Duane Washington, Jr.",G,75,210,21,IND,48,0,Ohio State,"2021 NBA Draft, Undrafted",United States
2022,P.J. Washington,PF,79,230,23,CHA,65,2,Kentucky,2019 Rnd 1 Pick 12,United States
2022,Yuta Watanabe,F,81,205,27,TOR,38,3,George Washington,"2018 NBA Draft, Undrafted",Japan
2022,Lindy Waters III,SG,78,215,24,OKC,25,0,Oklahoma State,"2020 NBA Draft, Undrafted",United States
2022,Tremont Waters,PG,70,175,24,"TOR, WAS",3,2,LSU,2019 Rnd 2 Pick 21,United StatesPuerto Rico
2022,Trendon Watford,SF,81,230,21,POR,48,0,LSU,"2021 NBA Draft, Undrafted",United States
2022,Paul Watson,GF,78,210,27,OKC,9,2,Fresno State,"2017 NBA Draft, Undrafted",United States
2022,Quinndary Weatherspoon,SG,75,207,25,GSW,11,2,Mississippi State,2019 Rnd 2 Pick 19,United States
2022,Russell Westbrook,G,75,200,33,LAL,78,13,UCLA,2008 Rnd 1 Pick 4,United States
2022,Coby White,PG,77,191,22,CHI,61,2,North Carolina,2019 Rnd 1 Pick 7,United States
2022,Derrick White,G,76,195,27,"BOS, SAN",75,4,Colorado,2017 Rnd 1 Pick 29,United States
2022,Hassan Whiteside,C,84,265,32,UTA,65,9,Marshall,2010 Rnd 2 Pick 3,United States
2022,Joe Wieskamp,SF,78,205,22,SAS,30,0,Iowa,2021 Rnd 2 Pick 11,United States
2022,Aaron Wiggins,F,78,200,23,OKC,50,0,Maryland,2021 Rnd 2 Pick 25,United States
2022,Andrew Wiggins,F,79,205,27,GSW,73,7,Kansas,2014 Rnd 1 Pick 1,Canada
2022,Lindell Wigginton,SG,73,189,23,MIL,19,0,Iowa State,"2019 NBA Draft, Undrafted",Canada
2022,Brandon Williams,PG,74,190,22,POR,24,0,Arizona,"2021 NBA Draft, Undrafted",United States
2022,Grant Williams,SF,78,236,23,BOS,77,2,Tennessee,2019 Rnd 1 Pick 22,United States
2022,Kenrich Williams,SF,79,210,27,OKC,49,3,Texas Christian,"2018 NBA Draft, Undrafted",United States
2022,Lou Williams,G,73,175,35,ATL,56,16,South Gwinnett High School (Georgia),2005 Rnd 2 Pick 15,United States
2022,Patrick Williams,G,79,227,20,CHI,17,1,Florida State,2020 Rnd 1 Pick 4,United States
2022,Robert Williams,PF,80,240,24,BOS,61,3,Texas A&M,2018 Rnd 1 Pick 27,United States
2022,Ziaire Williams,F,81,185,20,MEM,62,0,Stanford,2021 Rnd 1 Pick 10,United States
2022,D.J. Wilson,F,82,231,26,TOR,4,4,Michigan,2017 Rnd 1 Pick 17,United States
2022,Dylan Windler,SF,78,199,25,CLE,50,2,Belmont,2019 Rnd 1 Pick 26,United States
2022,Justise Winslow,SF,78,222,25,"LAC, POR",48,6,Duke,2015 Rnd 1 Pick 10,United States
2022,Cassius Winston,PG,73,185,24,WAS,7,1,Michigan State,2020 Rnd 2 Pick 23,United States
2022,Christian Wood,PF,82,223,26,HOU,68,5,UNLV,"2015 NBA Draft, Undrafted",United States
2022,Robert Woodard II,G,79,230,22,SAC,12,1,Mississippi State,2020 Rnd 2 Pick 10,United States
2022,McKinley Wright IV,PG,71,192,23,MIN,5,0,Colorado,"2021 NBA Draft, Undrafted",United States
2022,Delon Wright,G,77,185,29,ATL,77,6,Utah,2015 Rnd 1 Pick 20,United States
2022,Moses Wright,FC,80,226,23,"DAL, LAC",4,0,Georgia Tech,"2021 NBA Draft, Undrafted",United States
2022,Gabe York,SG,75,185,28,IND,2,0,Arizona,"2016 NBA Draft, Undrafted",United States
2022,Thaddeus Young,F,80,235,33,"SAN, TOR",52,14,Georgia Tech,2007 Rnd 1 Pick 12,United States
2022,Trae Young,PG,73,180,23,ATL,76,3,Oklahoma,2018 Rnd 1 Pick 5,United States
2022,Omer Yurtseven,C,83,255,23,MIA,56,1,Georgetown,"2020 NBA Draft, Undrafted",UzbekistanTurkey
2022,Cody Zeller,F,83,240,29,POR,27,8,Indiana,2013 Rnd 1 Pick 4,United States
2022,Ivica Zubac,C,84,240,24,LAC,76,5,KK Mega Bemax (Serbia),2016 Rnd 2 Pick 2,Bosnia and HerzegovinaCroatia
2021,Jaylen Adams,PG,72,225,24,MIL,7,1,St. Bonaventure,"2018 NBA Draft, Undrafted",United States
2021,Ty-Shon Alexander,SG,75,195,22,PHX,15,0,Creighton,"2020 NBA Draft, Undrafted",United States
2021,Al-Farouq Aminu,F,81,220,30,"CHI, ORL",23,10,Wake Forest,2010 Rnd 1 Pick 8,United StatesNigeria
2021,Kostas Antetokounmpo,PF,82,200,23,LAL,15,2,Dayton,2018 Rnd 2 Pick 30,GreeceUnited States
2021,Dwayne Bacon,SF,78,221,25,ORL,72,3,Florida State,2017 Rnd 2 Pick 10,United States
2021,Aron Baynes,C,82,260,34,TOR,53,8,Washington State,"2009 NBA Draft, Undrafted",New ZealandAustralia
2021,Tyler Bey,PF,79,215,23,DAL,18,0,Colorado,2020 Rnd 2 Pick 6,United States
2021,Marques Bolden,C,82,249,22,CLE,6,1,Duke,"2019 NBA Draft, Undrafted",United StatesIndonesia
2021,Jordan Bone,SG,74,180,23,ORL,14,1,Tennessee,2019 Rnd 2 Pick 27,United States
2021,Brian Bowen II,SF,79,199,22,IND,6,1,Sydney (Australia),"2019 NBA Draft, Undrafted",United States
2021,Jarrell Brantley,SF,77,250,24,UTA,28,1,Charleston,2019 Rnd 2 Pick 20,United States
2021,Amida Brimah,C,83,230,27,IND,5,0,Connecticut,"2017 NBA Draft, Undrafted",Ghana
2021,Elijah Bryant,SG,77,210,25,MIL,1,0,Brigham Young,"2018 NBA Draft, Undrafted",United States
2021,Bruno Caboclo,PF,81,218,25,HOU,6,6,Pinheiros/Sky (Brazil),2014 Rnd 1 Pick 20,Brazil
2021,Michael Carter-Williams,PG,78,195,29,ORL,31,7,Syracuse,2013 Rnd 1 Pick 11,United States
2021,Quinn Cook,PG,73,180,27,"CLE, LAL",23,4,Duke,"2015 NBA Draft, Undrafted",United States
2021,Nate Darling,SG,77,200,22,CHA,7,0,Delaware,"2020 NBA Draft, Undrafted",Canada
2021,Matt Dellavedova,G,75,204,30,CLE,13,7,Saint Mary's,"2013 NBA Draft, Undrafted",Australia
2021,Jared Dudley,PF,79,237,35,LAL,12,13,Boston College,2007 Rnd 1 Pick 22,United States
2021,Henry Ellenson,PF,82,240,24,TOR,2,4,Marquette,2016 Rnd 1 Pick 18,United States
2021,Dante Exum,PG,77,214,25,CLE,6,6,Australian Institute of Sport (Australian Capital Territory),2014 Rnd 1 Pick 5,Australia
2021,Cristiano Felicio,C,82,275,28,CHI,18,5,Minas (Brazil),"2014 NBA Draft, Undrafted",Brazil
2021,Terrance Ferguson,SG,79,190,22,PHI,13,3,Adelaide (Australia),2017 Rnd 1 Pick 21,United States
2021,Yogi Ferrell,G,72,180,27,"CLE, LAC",10,4,Indiana,"2016 NBA Draft, Undrafted",United States
2021,Robert Franks,PF,79,225,24,ORL,7,1,Washington State,"2019 NBA Draft, Undrafted",United States
2021,Marc Gasol,C,85,255,36,LAL,52,12,CB Girona (Spain),2007 Rnd 2 Pick 18,Spain
2021,Harry Giles,PF,83,240,22,POR,38,3,Duke,2017 Rnd 1 Pick 20,United States
2021,Ashton Hagans,PG,75,190,21,MIN,2,0,Kentucky,"2020 NBA Draft, Undrafted",United States
2021,Donta Hall,PF,81,229,23,ORL,13,1,Alabama,"2019 NBA Draft, Undrafted",United States
2021,Josh Hall,F,81,190,20,OKC,21,0,Moravian Prep (North Carolina),"2020 NBA Draft, Undrafted",United States
2021,Jalen Harris,SG,77,195,22,TOR,13,0,Nevada,2020 Rnd 2 Pick 29,United States
2021,Rondae Hollis-Jefferson,SF,78,217,26,POR,11,5,Arizona,2015 Rnd 1 Pick 23,United States
2021,Ersan Ilyasova,F,82,235,33,UTA,17,13,Alpella B.K. (Turkey),2005 Rnd 2 Pick 6,Turkey
2021,Justin James,SG,79,190,24,SAC,36,1,Wyoming,2019 Rnd 2 Pick 10,United States
2021,Mike James,PG,73,190,30,BRK,13,1,Lamar,"2012 NBA Draft, Undrafted",United States
2021,Mfiondu Kabengele,SF,82,250,23,"CLE, LAC",39,1,Florida State,2019 Rnd 1 Pick 27,Canada
2021,Rodions Kurucs,SF,81,230,23,"BRK, HOU, MIL",21,2,Barca (Spain),2018 Rnd 2 Pick 10,Latvia
2021,T.J. Leaf,PF,82,225,23,POR,7,3,UCLA,2017 Rnd 1 Pick 18,United StatesIsrael
2021,Jalen Lecque,SG,76,185,20,IND,4,1,,"2019 NBA Draft, Undrafted",United States
2021,Kawhi Leonard,F,79,225,29,LAC,52,9,San Diego State,2011 Rnd 1 Pick 15,United States
2021,Meyers Leonard,C,85,255,29,MIA,3,8,Illinois,2012 Rnd 1 Pick 11,United States
2021,Will Magnay,C,82,234,22,NOP,1,0,Brisbane (Australia),"2018 NBA Draft, Undrafted",Australia
2021,Thon Maker,C,84,221,24,CLE,8,4,Athlete Institute Prep (Ontario),2016 Rnd 1 Pick 10,South SudanAustralia
2021,Karim Mane,PG,76,205,20,ORL,10,0,Vanier College (Quebec),"2020 NBA Draft, Undrafted",Canada
2021,Nico Mannion,PG,75,190,19,GSW,30,0,Arizona,2020 Rnd 2 Pick 18,ItalyUnited States
2021,Jeremiah Martin,PG,75,185,24,CLE,9,1,Memphis,"2019 NBA Draft, Undrafted",United States
2021,Frank Mason,G,71,190,26,ORL,4,3,Kansas,2017 Rnd 2 Pick 4,United States
2021,Patrick McCaw,G,79,185,25,TOR,5,4,UNLV,2016 Rnd 2 Pick 8,United States
2021,Sean McDermott,SG,78,195,24,MEM,18,0,Butler,"2020 NBA Draft, Undrafted",United States
2021,Nicolo Melli,PF,81,235,30,"DAL, NOP",45,1,AX Armani Exchange Milan (Italy),"2013 NBA Draft, Undrafted",Italy
2021,Darius Miller,GF,80,225,30,OKC,18,6,Kentucky,2012 Rnd 2 Pick 16,United States
2021,Adam Mokoka,SG,77,215,22,CHI,14,1,KK Mega Bemax (Serbia),"2019 NBA Draft, Undrafted",France
2021,E'Twaun Moore,SG,76,191,32,PHX,27,9,Purdue,2011 Rnd 2 Pick 25,United States
2021,Jamal Murray,SG,76,215,24,DEN,48,4,Kentucky,2016 Rnd 1 Pick 7,Canada
2021,Kendrick Nunn,SG,75,195,25,MIA,56,2,Oakland,"2018 NBA Draft, Undrafted",United States
2021,James Nunnally,F,79,220,30,NOP,9,2,UC Santa Barbara,"2012 NBA Draft, Undrafted",United States
2021,Jahlil Okafor,C,83,275,25,DET,27,5,Duke,2015 Rnd 1 Pick 3,United StatesNigeria
2021,Anzejs Pasecniks,C,85,229,25,WAS,1,1,Gran Canaria (Spain),2017 Rnd 1 Pick 25,Latvia
2021,Patrick Patterson,F,80,235,31,LAC,38,10,Kentucky,2010 Rnd 1 Pick 14,United States
2021,Justin Patton,C,84,241,23,HOU,13,3,Creighton,2017 Rnd 1 Pick 16,United States
2021,Vincent Poirier,C,84,235,27,PHI,10,1,,"2015 NBA Draft, Undrafted",France
2021,Jontay Porter,PF,82,236,21,MEM,11,1,Missouri,"2019 NBA Draft, Undrafted",United States
2021,Chasson Randle,PG,75,185,28,ORL,41,3,Stanford,"2015 NBA Draft, Undrafted",United States
2021,J.J. Redick,G,76,200,36,"DAL, NOP",44,14,Duke,2006 Rnd 1 Pick 11,United States
2021,Cam Reynolds,F,79,225,26,"HOU, SAN",5,2,Tulane,"2018 NBA Draft, Undrafted",United States
2021,Grant Riller,SG,72,195,24,CHA,7,0,Charleston,2020 Rnd 2 Pick 26,United States
2021,Andre Roberson,SG,79,210,29,BRK,5,7,Colorado,2013 Rnd 1 Pick 26,United States
2021,Glenn Robinson,SF,78,222,27,SAC,23,6,Michigan,2014 Rnd 2 Pick 10,United States
2021,Jerome Robinson,SG,76,190,24,WAS,17,2,Boston College,2018 Rnd 1 Pick 13,United States
2021,Luka Samanic,PF,83,235,21,SAS,33,1,Union Olimpija (Slovenia),2019 Rnd 1 Pick 19,Croatia
2021,JaKarr Sampson,F,81,215,27,IND,29,5,St. John's,"2014 NBA Draft, Undrafted",United States
2021,Dario Saric,SF,82,250,26,PHX,50,4,KK Cibona (Croatia),2014 Rnd 1 Pick 12,Croatia
2021,Mike Scott,PF,80,237,32,PHI,51,8,Virginia,2012 Rnd 2 Pick 13,United States
2021,Iman Shumpert,G,77,220,30,BRK,2,9,Georgia Tech,2011 Rnd 1 Pick 17,United States
2021,Ben Simmons,PF,82,240,24,PHI,58,4,LSU,2016 Rnd 1 Pick 1,Australia
2021,Alen Smailagic,PF,82,215,20,GSW,15,1,Santa Cruz Warriors,2019 Rnd 2 Pick 9,Serbia
2021,Raymond Spalding,PF,82,215,23,HOU,2,2,Louisville,2018 Rnd 2 Pick 26,United States
2021,Edmond Sumner,G,78,196,25,IND,53,3,Xavier,2017 Rnd 2 Pick 22,United States
2021,Jeff Teague,PG,75,195,32,"BOS, MIL",55,11,Wake Forest,2009 Rnd 1 Pick 19,United States
2021,Khyri Thomas,SG,75,210,24,HOU,5,2,Creighton,2018 Rnd 2 Pick 8,United States
2021,Sindarius Thornwell,SG,76,215,26,"NOP, ORL",21,2,South Carolina,2017 Rnd 2 Pick 18,United States
2021,Anthony Tolliver,PF,80,245,35,PHI,11,13,Creighton,"2007 NBA Draft, Undrafted",United States
2021,Axel Toupane,SG,79,197,28,MIL,8,2,Strasbourg IG (France),"2014 NBA Draft, Undrafted",France
2021,Anderson Varejao,C,82,273,38,CLE,5,13,Barca (Spain),2004 Rnd 2 Pick 1,Brazil
2021,Noah Vonleh,FC,82,257,25,BRK,4,6,Indiana,2014 Rnd 1 Pick 9,United States
2021,John Wall,PG,76,210,30,HOU,40,10,Kentucky,2010 Rnd 1 Pick 1,United States
2021,T.J. Warren,F,80,215,27,IND,4,6,NC State,2014 Rnd 1 Pick 14,United States
2021,Greg Whittington,PF,80,212,28,DEN,4,0,Georgetown,"2015 NBA Draft, Undrafted",United States
2021,Zion Williamson,PF,78,284,20,NOP,61,1,Duke,2019 Rnd 1 Pick 1,United States
2021,James Wiseman,C,84,258,19,GSW,39,0,Memphis,2020 Rnd 1 Pick 2,United States
2020,Kyle Alexander,PF,82,216,23,MIA,2,0,Tennessee,"2019 NBA Draft, Undrafted",Canada
2020,Kadeem Allen,G,75,200,27,NYK,10,2,Arizona,2017 Rnd 2 Pick 23,United States
2020,Ryan Anderson,PF,82,240,31,HOU,2,11,California,2008 Rnd 1 Pick 21,United States
2020,J.J. Barea,G,70,180,35,DAL,29,13,Northeastern,"2006 NBA Draft, Undrafted",Puerto RicoUnited States
2020,Marco Belinelli,G,77,225,33,SAS,57,12,Fortituto Kontatto Bologna (Italy),2007 Rnd 1 Pick 18,Italy
2020,Dragan Bender,PF,85,235,22,"GOS, MIL",16,3,Maccabi FOX Tel Aviv (Israel),2016 Rnd 1 Pick 4,Bosnia and HerzegovinaCroatia
2020,Jonah Bolden,SF,82,220,24,"PHL, PHX",7,1,FMP Beograd (Serbia),2017 Rnd 2 Pick 6,Australia
2020,Ky Bowman,SG,74,190,22,GSW,45,0,Boston College,"2019 NBA Draft, Undrafted",United States
2020,Corey Brewer,GF,81,186,33,SAC,5,12,Florida,2007 Rnd 1 Pick 7,United States
2020,Ryan Broekhoff,SF,79,215,29,DAL,17,1,Valparaiso,"2013 NBA Draft, Undrafted",Australia
2020,Deonte Burton,F,76,240,26,OKC,39,1,Iowa State,"2017 NBA Draft, Undrafted",United States
2020,DeMarre Carroll,F,80,215,33,"HOU, SAN",24,10,Missouri,2009 Rnd 1 Pick 27,United States
2020,Vince Carter,SF,78,220,43,ATL,60,21,North Carolina,1998 Rnd 1 Pick 5,United States
2020,Tyson Chandler,C,85,240,37,HOU,26,18,Dominguez High School (California),2001 Rnd 1 Pick 2,United States
2020,Wilson Chandler,SF,81,225,32,BRK,35,12,DePaul,2007 Rnd 1 Pick 23,United States
2020,Joe Chealey,PG,76,190,24,CHA,4,1,Charleston,"2018 NBA Draft, Undrafted",United States
2020,Chris Clemons,PG,69,180,22,HOU,33,0,Campbell,"2019 NBA Draft, Undrafted",United States
2020,Antonius Cleveland,G,78,195,26,DAL,11,1,Southeast Missouri State,"2017 NBA Draft, Undrafted",United States
2020,Allen Crabbe,SG,78,212,27,"ATL, MIN",37,6,California,2013 Rnd 2 Pick 1,United States
2020,Jamal Crawford,SG,77,195,39,BRK,1,19,Michigan,2000 Rnd 1 Pick 8,United States
2020,Troy Daniels,G,76,205,28,"DEN, LAL",47,6,VCU,"2013 NBA Draft, Undrafted",United States
2020,Jacob Evans,SG,78,210,22,"GOS, MIN",29,1,Cincinnati,2018 Rnd 1 Pick 28,United States
2020,Michael Frazier,G,76,200,25,HOU,13,1,Florida,"2015 NBA Draft, Undrafted",United States
2020,Treveon Graham,GF,77,225,26,"ATL, MIN",55,3,VCU,"2015 NBA Draft, Undrafted",United States
2020,Jerian Grant,SG,76,198,27,WAS,6,4,Notre Dame,2015 Rnd 1 Pick 19,United States
2020,Josh Gray,G,73,170,26,NOP,2,1,LSU,"2016 NBA Draft, Undrafted",United States
2020,Marko Guduric,SG,78,201,24,MEM,44,0,KK Crvena Zvezda (Serbia),"2017 NBA Draft, Undrafted",Serbia
2020,Devon Hall,SG,77,215,24,OKC,11,0,Virginia,2018 Rnd 2 Pick 23,United States
2020,Dusty Hannahs,GF,75,210,26,MEM,2,1,Arkansas,"2017 NBA Draft, Undrafted",United States
2020,John Henson,PF,83,219,29,"CLE, DET",40,7,North Carolina,2012 Rnd 1 Pick 14,United States
2020,Dewan Hernandez,FC,82,235,23,TOR,6,0,Miami (FL),2019 Rnd 2 Pick 29,United States
2020,Kevin Hervey,PF,81,230,23,OKC,10,0,Texas-Arlington,2018 Rnd 2 Pick 27,United States
2020,Mario Hezonja,SG,80,220,25,POR,53,4,FC Barcelona II (Spain),2015 Rnd 1 Pick 5,Croatia
2020,William Howard,F,80,207,26,HOU,2,0,BCM Gravelines (France),"2015 NBA Draft, Undrafted",France
2020,Jonathan Isaac,SF,82,230,22,ORL,34,2,Florida State,2017 Rnd 1 Pick 6,United States
2020,Amile Jefferson,PF,81,222,26,ORL,18,2,Duke,"2017 NBA Draft, Undrafted",United States
2020,Stanton Kidd,F,79,215,27,UTA,4,0,Colorado State,"2015 NBA Draft, Undrafted",United States
2020,Michael Kidd-Gilchrist,SF,79,232,26,"CHA, DAL",25,7,Kentucky,2012 Rnd 1 Pick 2,United States
2020,Kyle Korver,SF,79,212,38,MIL,58,16,Creighton,2003 Rnd 2 Pick 22,United States
2020,Skal Labissiere,C,83,235,23,POR,33,3,Kentucky,2016 Rnd 1 Pick 28,Haiti
2020,Vic Law,SG,79,200,24,ORL,8,0,Northwestern,"2019 NBA Draft, Undrafted",United States
2020,Courtney Lee,SG,77,215,34,DAL,24,11,Western Kentucky,2008 Rnd 1 Pick 22,United States
2020,Naz Long,PG,76,218,26,IND,5,2,Iowa State,"2017 NBA Draft, Undrafted",Canada
2020,Daryl Macon,PG,75,185,24,MIA,4,1,Arkansas,"2018 NBA Draft, Undrafted",United States
2020,J.P. Macura,SG,77,205,24,CLE,1,1,Xavier,"2018 NBA Draft, Undrafted",United States
2020,Joshua Magette,PG,73,160,30,ORL,8,1,Alabama-Huntsville,"2012 NBA Draft, Undrafted",United States
2020,Ian Mahinmi,C,83,262,33,WAS,38,12,STB Le Havre (France),2005 Rnd 1 Pick 28,France
