Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
2022,"Wendell Carter, Jr.",PF,82,270,22,ORL,62,3,Duke,2018 Rnd 1 Pick 7,United States
2022,Alex Caruso,G,76,186,28,CHI,41,4,Texas A&M,"2016 NBA Draft, Undrafted",United States
2022,Willie Cauley-Stein,C,84,240,28,"DAL, PHL",20,6,Kentucky,2015 Rnd 1 Pick 6,United States
2022,Ahmad Caver,PG,74,174,25,IND,1,0,Old Dominion,"2019 NBA Draft, Undrafted",United States
2022,Justin Champagnie,F,78,210,20,TOR,36,0,Pittsburgh,"2021 NBA Draft, Undrafted",United States
2022,Zylan Cheatham,SF,80,220,26,UTA,1,1,Arizona State,"2019 NBA Draft, Undrafted",United States
2022,Chris Chiozza,PG,71,175,26,GSW,34,3,Florida,"2018 NBA Draft, Undrafted",United States
2022,Marquese Chriss,PF,81,240,24,DAL,34,5,Washington,2016 Rnd 1 Pick 8,United States
2022,Josh Christopher,G,77,215,20,HOU,74,0,Arizona State,2021 Rnd 1 Pick 24,United States
2022,Gary Clark,SF,78,225,27,NOP,38,3,Cincinnati,"2018 NBA Draft, Undrafted",United States
2022,Brandon Clarke,PF,80,210,25,MEM,64,2,Gonzaga,2019 Rnd 1 Pick 21,Canada
2022,Jordan Clarkson,G,77,192,29,UTA,79,7,Missouri,2014 Rnd 2 Pick 16,United StatesPhilippines
2022,Nicolas Claxton,C,83,226,22,BRK,47,2,Georgia,2019 Rnd 2 Pick 1,United StatesU.S. Virgin Islands
2022,Amir Coffey,SF,79,210,24,LAC,69,2,Minnesota,"2019 NBA Draft, Undrafted",United States
2022,John Collins,PF,81,235,24,ATL,54,4,Wake Forest,2017 Rnd 1 Pick 19,United States
2022,Zach Collins,C,83,250,24,SAS,28,4,Gonzaga,2017 Rnd 1 Pick 10,United States
2022,Darren Collison,PG,72,175,34,LAL,3,10,UCLA,2009 Rnd 1 Pick 21,United States
2022,Mike Conley,PG,73,175,34,UTA,72,14,Ohio State,2007 Rnd 1 Pick 4,United States
2022,Pat Connaughton,SF,76,209,29,MIL,65,6,Notre Dame,2015 Rnd 2 Pick 11,United States
2022,Tyler Cook,C,80,255,24,CHI,20,2,Iowa,"2019 NBA Draft, Undrafted",United States
2022,Sharife Cooper,PG,73,180,20,ATL,13,0,Auburn,2021 Rnd 2 Pick 18,United States
2022,Petr Cornelie,C,83,220,26,DEN,13,0,Le Mans Sarthe Basket (France),2016 Rnd 2 Pick 23,France
2022,DeMarcus Cousins,C,83,270,31,"DEN, MIL",48,11,Kentucky,2010 Rnd 1 Pick 5,United States
2022,Robert Covington,F,79,209,31,"LAC, POR",71,8,Tennessee State,"2013 NBA Draft, Undrafted",United States
2022,Torrey Craig,GF,79,221,31,"IND, PHX",78,4,USC Upstate,"2014 NBA Draft, Undrafted",United States
2022,Jae Crowder,SF,78,235,31,PHX,67,9,Marquette,2012 Rnd 2 Pick 4,United States
2022,Jarrett Culver,SG,78,195,23,MEM,37,2,Texas Tech,2019 Rnd 1 Pick 6,United States
2022,Jarron Cumberland,SG,77,205,24,POR,3,0,Cincinnati,"2020 NBA Draft, Undrafted",United States
2022,Cade Cunningham,SF,78,220,20,DET,64,0,Oklahoma State,2021 Rnd 1 Pick 1,United States
2022,Seth Curry,G,73,190,31,"BRK, PHL",64,8,Duke,"2013 NBA Draft, Undrafted",United States
2022,Stephen Curry,G,75,193,33,GSW,64,12,Davidson,2009 Rnd 1 Pick 7,United States
2022,Anthony Davis,PF,82,253,28,LAL,40,9,Kentucky,2012 Rnd 1 Pick 1,United States
2022,Ed Davis,PF,81,218,32,CLE,31,11,North Carolina,2010 Rnd 1 Pick 13,United States
2022,Terence Davis,SF,76,205,24,SAC,30,2,Ole Miss,"2019 NBA Draft, Undrafted",United States
2022,Javin DeLaurier,PF,82,215,23,MIL,1,0,Duke,"2020 NBA Draft, Undrafted",United States
2022,DeMar DeRozan,GF,78,220,32,CHI,76,12,USC,2009 Rnd 1 Pick 9,United States
